State Name,City Name,Month,Day of Week,Weather Conditions,Accident Location Details
Kerala,Some City,September,Friday,Rainy,Curve
Chhattisgarh,Some City,July,Saturday,Clear,Curve
Manipur,Some City,May,Saturday,Foggy,Intersection
Uttarakhand,Some City,April,Tuesday,Rainy,Curve
Manipur,Some City,February,Wednesday,Clear,Curve
Rajasthan,Jaipur,October,Monday,Hazy,Intersection
Uttarakhand,Some City,March,Tuesday,Rainy,Intersection
Tripura,Some City,August,Saturday,Stormy,Curve
Arunachal Pradesh,Some City,May,Friday,Rainy,Intersection
Delhi,Dwarka,May,Tuesday,Stormy,Intersection
Jharkhand,Some City,March,Thursday,Clear,Intersection
Sikkim,Some City,January,Monday,Rainy,Intersection
Kerala,Some City,September,Monday,Hazy,Curve
Arunachal Pradesh,Some City,June,Sunday,Foggy,Curve
Maharashtra,Mumbai,May,Wednesday,Clear,Curve
Karnataka,Bangalore,March,Friday,Clear,Curve
Odisha,Some City,January,Sunday,Hazy,Intersection
Jharkhand,Some City,May,Sunday,Rainy,Curve
Assam,Some City,July,Sunday,Rainy,Intersection
West Bengal,Durgapur,August,Tuesday,Stormy,Curve
Chandigarh,Some City,July,Sunday,Stormy,Intersection
Chhattisgarh,Some City,July,Sunday,Foggy,Intersection
Jammu and Kashmir,Some City,June,Friday,Stormy,Intersection
Haryana,Some City,August,Thursday,Stormy,Intersection
Puducherry,Some City,January,Saturday,Clear,Curve
Nagaland,Some City,August,Thursday,Hazy,Curve
Jammu and Kashmir,Some City,August,Tuesday,Clear,Curve
Karnataka,Mysore,February,Sunday,Stormy,Intersection
Gujarat,Ahmedabad,September,Saturday,Hazy,Intersection
West Bengal,Siliguri,September,Friday,Rainy,Curve
Telangana,Some City,June,Sunday,Clear,Intersection
Andhra Pradesh,Tirupati,December,Friday,Clear,Curve
Puducherry,Some City,July,Thursday,Foggy,Intersection
Tamil Nadu,Coimbatore,August,Thursday,Rainy,Curve
Maharashtra,Nagpur,May,Wednesday,Rainy,Curve
Bihar,Some City,October,Wednesday,Hazy,Intersection
Maharashtra,Pune,February,Wednesday,Clear,Intersection
West Bengal,Durgapur,November,Tuesday,Hazy,Intersection
Assam,Some City,July,Monday,Hazy,Intersection
Jharkhand,Some City,October,Friday,Stormy,Curve
Chhattisgarh,Some City,January,Thursday,Hazy,Curve
Manipur,Some City,December,Wednesday,Clear,Curve
Nagaland,Some City,November,Thursday,Foggy,Curve
Delhi,Dwarka,September,Sunday,Clear,Intersection
Kerala,Some City,July,Friday,Clear,Intersection
Maharashtra,Nagpur,March,Monday,Rainy,Curve
Kerala,Some City,May,Sunday,Foggy,Curve
Uttarakhand,Some City,January,Friday,Foggy,Intersection
Tripura,Some City,October,Friday,Foggy,Intersection
Tamil Nadu,Chennai,May,Wednesday,Rainy,Curve
Himachal Pradesh,Some City,May,Thursday,Rainy,Intersection
Punjab,Some City,December,Monday,Clear,Intersection
Bihar,Some City,June,Tuesday,Clear,Intersection
Maharashtra,Nagpur,August,Tuesday,Clear,Curve
Assam,Some City,April,Sunday,Rainy,Intersection
Karnataka,Mysore,August,Friday,Clear,Curve
Karnataka,Bangalore,April,Saturday,Stormy,Intersection
Andhra Pradesh,Vijayawada,January,Wednesday,Foggy,Curve
Delhi,Rohini,September,Tuesday,Stormy,Curve
Goa,Some City,October,Sunday,Foggy,Intersection
Sikkim,Some City,November,Thursday,Stormy,Curve
Goa,Some City,April,Tuesday,Stormy,Intersection
Rajasthan,Jaipur,September,Monday,Clear,Intersection
Andhra Pradesh,Vijayawada,February,Friday,Stormy,Curve
Jharkhand,Some City,August,Monday,Rainy,Curve
Punjab,Some City,January,Monday,Rainy,Curve
Sikkim,Some City,January,Monday,Foggy,Intersection
Rajasthan,Jaipur,January,Thursday,Foggy,Intersection
Odisha,Some City,August,Wednesday,Rainy,Curve
Assam,Some City,January,Sunday,Hazy,Curve
Manipur,Some City,October,Wednesday,Hazy,Curve
Sikkim,Some City,August,Wednesday,Clear,Intersection
Uttar Pradesh,Varanasi,March,Tuesday,Foggy,Curve
Goa,Some City,January,Tuesday,Stormy,Intersection
Andhra Pradesh,Visakhapatnam,June,Wednesday,Hazy,Intersection
Karnataka,Mangalore,April,Wednesday,Rainy,Intersection
Chandigarh,Some City,November,Sunday,Foggy,Intersection
Himachal Pradesh,Some City,January,Friday,Rainy,Curve
Mizoram,Some City,August,Wednesday,Stormy,Intersection
Bihar,Some City,September,Thursday,Stormy,Intersection
Puducherry,Some City,June,Tuesday,Rainy,Intersection
Puducherry,Some City,December,Thursday,Stormy,Curve
Mizoram,Some City,March,Monday,Foggy,Curve
Nagaland,Some City,November,Thursday,Foggy,Intersection
Haryana,Some City,September,Saturday,Foggy,Intersection
Sikkim,Some City,June,Monday,Stormy,Curve
Chhattisgarh,Some City,July,Saturday,Hazy,Curve
Arunachal Pradesh,Some City,July,Wednesday,Rainy,Intersection
Punjab,Some City,June,Sunday,Hazy,Curve
Arunachal Pradesh,Some City,September,Friday,Foggy,Curve
Meghalaya,Some City,April,Saturday,Hazy,Curve
Puducherry,Some City,October,Friday,Clear,Intersection
Delhi,New Delhi,June,Tuesday,Hazy,Intersection
Delhi,Rohini,October,Saturday,Stormy,Intersection
West Bengal,Siliguri,July,Sunday,Clear,Intersection
Rajasthan,Jaipur,December,Friday,Clear,Intersection
Himachal Pradesh,Some City,May,Wednesday,Rainy,Curve
Andhra Pradesh,Visakhapatnam,November,Monday,Stormy,Intersection
Tripura,Some City,February,Monday,Stormy,Curve
Mizoram,Some City,August,Sunday,Stormy,Curve
Meghalaya,Some City,September,Friday,Clear,Intersection
Manipur,Some City,October,Thursday,Hazy,Curve
Meghalaya,Some City,October,Saturday,Hazy,Intersection
Chandigarh,Some City,May,Sunday,Hazy,Curve
Maharashtra,Nagpur,April,Friday,Rainy,Intersection
Karnataka,Mangalore,May,Saturday,Foggy,Curve
Puducherry,Some City,December,Saturday,Foggy,Curve
Karnataka,Mysore,February,Friday,Foggy,Curve
Manipur,Some City,November,Friday,Hazy,Curve
Odisha,Some City,February,Sunday,Rainy,Curve
Jammu and Kashmir,Some City,July,Wednesday,Rainy,Intersection
Delhi,Rohini,June,Saturday,Clear,Intersection
Tamil Nadu,Madurai,December,Saturday,Hazy,Curve
Haryana,Some City,January,Tuesday,Rainy,Curve
Nagaland,Some City,May,Tuesday,Clear,Intersection
Chandigarh,Some City,September,Tuesday,Rainy,Intersection
Karnataka,Bangalore,October,Saturday,Rainy,Intersection
Punjab,Some City,April,Tuesday,Rainy,Intersection
Sikkim,Some City,June,Wednesday,Rainy,Intersection
Jharkhand,Some City,March,Tuesday,Foggy,Curve
Tamil Nadu,Coimbatore,April,Monday,Stormy,Curve
Madhya Pradesh,Some City,November,Monday,Rainy,Intersection
Kerala,Some City,August,Saturday,Hazy,Intersection
Sikkim,Some City,June,Saturday,Hazy,Curve
Uttar Pradesh,Kanpur,November,Wednesday,Hazy,Curve
Sikkim,Some City,November,Saturday,Rainy,Curve
Uttarakhand,Some City,October,Sunday,Stormy,Curve
Chhattisgarh,Some City,December,Monday,Rainy,Intersection
Telangana,Some City,March,Sunday,Stormy,Curve
Chhattisgarh,Some City,August,Thursday,Rainy,Intersection
Jammu and Kashmir,Some City,February,Friday,Hazy,Intersection
Himachal Pradesh,Some City,December,Tuesday,Foggy,Intersection
Tamil Nadu,Chennai,June,Sunday,Hazy,Curve
Maharashtra,Nagpur,December,Sunday,Foggy,Intersection
Delhi,New Delhi,February,Wednesday,Stormy,Curve
Punjab,Some City,July,Wednesday,Hazy,Curve
Gujarat,Vadodara,April,Tuesday,Hazy,Curve
Nagaland,Some City,January,Tuesday,Hazy,Curve
Chandigarh,Some City,March,Friday,Rainy,Intersection
Sikkim,Some City,March,Tuesday,Hazy,Intersection
Goa,Some City,September,Friday,Clear,Intersection
Haryana,Some City,March,Sunday,Stormy,Curve
Puducherry,Some City,February,Sunday,Stormy,Intersection
Jharkhand,Some City,September,Wednesday,Stormy,Intersection
Bihar,Some City,October,Sunday,Hazy,Intersection
Arunachal Pradesh,Some City,March,Saturday,Hazy,Intersection
Rajasthan,Udaipur,May,Sunday,Rainy,Intersection
Delhi,Rohini,March,Tuesday,Foggy,Intersection
Mizoram,Some City,February,Wednesday,Clear,Curve
Nagaland,Some City,February,Tuesday,Foggy,Intersection
Kerala,Some City,August,Wednesday,Hazy,Intersection
Himachal Pradesh,Some City,July,Monday,Stormy,Curve
Uttar Pradesh,Kanpur,October,Friday,Foggy,Intersection
Nagaland,Some City,July,Tuesday,Clear,Curve
Delhi,Dwarka,April,Wednesday,Foggy,Intersection
Punjab,Some City,May,Thursday,Foggy,Curve
West Bengal,Kolkata,November,Friday,Rainy,Curve
Jharkhand,Some City,July,Sunday,Foggy,Intersection
Haryana,Some City,March,Wednesday,Rainy,Intersection
Odisha,Some City,January,Tuesday,Rainy,Curve
Gujarat,Ahmedabad,July,Wednesday,Rainy,Intersection
Goa,Some City,May,Friday,Stormy,Intersection
West Bengal,Siliguri,November,Thursday,Hazy,Curve
Gujarat,Vadodara,October,Thursday,Hazy,Intersection
Bihar,Some City,February,Friday,Stormy,Intersection
Himachal Pradesh,Some City,December,Wednesday,Stormy,Curve
Chandigarh,Some City,December,Sunday,Stormy,Intersection
Chhattisgarh,Some City,January,Saturday,Clear,Curve
Himachal Pradesh,Some City,October,Saturday,Foggy,Intersection
Arunachal Pradesh,Some City,February,Saturday,Foggy,Curve
Delhi,Dwarka,August,Tuesday,Clear,Curve
Karnataka,Mysore,May,Friday,Clear,Intersection
Haryana,Some City,November,Wednesday,Rainy,Curve
Puducherry,Some City,April,Friday,Hazy,Intersection
Mizoram,Some City,May,Thursday,Stormy,Intersection
Kerala,Some City,March,Thursday,Stormy,Curve
Uttarakhand,Some City,January,Wednesday,Foggy,Intersection
Goa,Some City,February,Monday,Foggy,Intersection
Chandigarh,Some City,January,Saturday,Hazy,Curve
Haryana,Some City,June,Tuesday,Hazy,Curve
Haryana,Some City,August,Tuesday,Foggy,Intersection
Manipur,Some City,November,Sunday,Clear,Intersection
Arunachal Pradesh,Some City,July,Sunday,Rainy,Intersection
Punjab,Some City,March,Sunday,Rainy,Intersection
Tamil Nadu,Madurai,October,Friday,Rainy,Curve
Assam,Some City,October,Sunday,Foggy,Curve
Puducherry,Some City,June,Monday,Stormy,Curve
Jharkhand,Some City,July,Saturday,Foggy,Intersection
Punjab,Some City,January,Saturday,Clear,Intersection
Tripura,Some City,January,Wednesday,Rainy,Intersection
Telangana,Some City,June,Saturday,Clear,Curve
Nagaland,Some City,September,Thursday,Stormy,Curve
Bihar,Some City,February,Tuesday,Rainy,Intersection
Jammu and Kashmir,Some City,August,Saturday,Clear,Intersection
Mizoram,Some City,February,Thursday,Hazy,Curve
Delhi,Rohini,March,Saturday,Clear,Curve
Arunachal Pradesh,Some City,May,Saturday,Hazy,Intersection
Uttar Pradesh,Kanpur,September,Saturday,Foggy,Curve
Uttar Pradesh,Kanpur,July,Monday,Clear,Intersection
Kerala,Some City,August,Sunday,Clear,Curve
Meghalaya,Some City,March,Tuesday,Stormy,Intersection
Punjab,Some City,June,Wednesday,Clear,Intersection
Tripura,Some City,March,Thursday,Stormy,Intersection
Mizoram,Some City,September,Friday,Stormy,Intersection
Himachal Pradesh,Some City,December,Tuesday,Stormy,Curve
Jammu and Kashmir,Some City,January,Tuesday,Stormy,Intersection
Nagaland,Some City,April,Sunday,Rainy,Intersection
Manipur,Some City,June,Monday,Hazy,Intersection
Gujarat,Surat,August,Sunday,Clear,Curve
Rajasthan,Jaipur,November,Thursday,Rainy,Intersection
Kerala,Some City,January,Thursday,Hazy,Curve
Sikkim,Some City,September,Thursday,Hazy,Intersection
Punjab,Some City,November,Friday,Hazy,Curve
Delhi,Rohini,October,Saturday,Clear,Intersection
Jharkhand,Some City,April,Wednesday,Foggy,Curve
Jharkhand,Some City,December,Wednesday,Clear,Intersection
Chandigarh,Some City,May,Tuesday,Hazy,Intersection
Rajasthan,Jodhpur,November,Sunday,Hazy,Intersection
Delhi,Rohini,December,Wednesday,Foggy,Intersection
Gujarat,Vadodara,January,Thursday,Hazy,Curve
Kerala,Some City,December,Monday,Foggy,Curve
Maharashtra,Mumbai,October,Tuesday,Stormy,Intersection
Uttar Pradesh,Varanasi,September,Sunday,Stormy,Curve
Uttar Pradesh,Kanpur,February,Wednesday,Stormy,Intersection
Bihar,Some City,December,Tuesday,Rainy,Intersection
Punjab,Some City,April,Sunday,Foggy,Intersection
Rajasthan,Udaipur,May,Sunday,Stormy,Intersection
Gujarat,Surat,February,Tuesday,Rainy,Curve
Odisha,Some City,March,Monday,Rainy,Intersection
Jharkhand,Some City,August,Tuesday,Hazy,Intersection
Gujarat,Surat,June,Saturday,Foggy,Intersection
Bihar,Some City,December,Friday,Foggy,Curve
Tamil Nadu,Coimbatore,September,Thursday,Hazy,Intersection
Manipur,Some City,July,Wednesday,Hazy,Intersection
Arunachal Pradesh,Some City,April,Monday,Stormy,Intersection
Goa,Some City,April,Saturday,Hazy,Curve
Jammu and Kashmir,Some City,October,Thursday,Stormy,Intersection
Manipur,Some City,January,Monday,Hazy,Intersection
Manipur,Some City,December,Monday,Hazy,Intersection
Delhi,Rohini,April,Wednesday,Foggy,Curve
Meghalaya,Some City,December,Wednesday,Foggy,Curve
Punjab,Some City,January,Wednesday,Stormy,Intersection
Jharkhand,Some City,June,Sunday,Rainy,Intersection
Himachal Pradesh,Some City,September,Tuesday,Stormy,Curve
Jharkhand,Some City,September,Monday,Foggy,Intersection
Punjab,Some City,June,Tuesday,Hazy,Intersection
Sikkim,Some City,December,Thursday,Rainy,Curve
Bihar,Some City,February,Saturday,Foggy,Curve
Kerala,Some City,March,Wednesday,Stormy,Curve
Sikkim,Some City,May,Thursday,Stormy,Curve
Nagaland,Some City,February,Tuesday,Clear,Intersection
Haryana,Some City,March,Friday,Stormy,Intersection
Manipur,Some City,April,Saturday,Rainy,Intersection
Tamil Nadu,Coimbatore,April,Sunday,Hazy,Intersection
Mizoram,Some City,January,Thursday,Clear,Curve
Sikkim,Some City,December,Sunday,Stormy,Intersection
Manipur,Some City,August,Sunday,Stormy,Curve
Madhya Pradesh,Some City,April,Saturday,Stormy,Intersection
Himachal Pradesh,Some City,October,Monday,Hazy,Intersection
Goa,Some City,April,Tuesday,Foggy,Curve
Telangana,Some City,July,Friday,Rainy,Intersection
Rajasthan,Jodhpur,March,Monday,Foggy,Intersection
Meghalaya,Some City,December,Wednesday,Clear,Intersection
Puducherry,Some City,April,Sunday,Clear,Curve
Jharkhand,Some City,December,Tuesday,Rainy,Intersection
Delhi,New Delhi,June,Wednesday,Rainy,Curve
Punjab,Some City,September,Wednesday,Rainy,Curve
Uttar Pradesh,Varanasi,October,Saturday,Stormy,Curve
Telangana,Some City,April,Saturday,Stormy,Intersection
Mizoram,Some City,September,Saturday,Hazy,Intersection
Jharkhand,Some City,July,Wednesday,Clear,Intersection
Uttarakhand,Some City,July,Monday,Hazy,Intersection
Tripura,Some City,October,Thursday,Hazy,Intersection
Sikkim,Some City,November,Thursday,Foggy,Intersection
Odisha,Some City,August,Thursday,Foggy,Curve
Odisha,Some City,November,Wednesday,Clear,Intersection
Haryana,Some City,April,Sunday,Rainy,Intersection
Goa,Some City,July,Thursday,Rainy,Intersection
Manipur,Some City,April,Thursday,Rainy,Intersection
Rajasthan,Udaipur,July,Sunday,Clear,Curve
Puducherry,Some City,January,Thursday,Clear,Curve
Kerala,Some City,July,Thursday,Rainy,Curve
Tripura,Some City,September,Wednesday,Stormy,Curve
Nagaland,Some City,December,Monday,Foggy,Intersection
Goa,Some City,April,Friday,Rainy,Curve
Rajasthan,Jodhpur,September,Thursday,Rainy,Intersection
Meghalaya,Some City,April,Wednesday,Rainy,Curve
Jammu and Kashmir,Some City,August,Thursday,Foggy,Curve
Gujarat,Vadodara,November,Friday,Foggy,Curve
West Bengal,Siliguri,November,Monday,Hazy,Curve
Meghalaya,Some City,May,Tuesday,Foggy,Intersection
Nagaland,Some City,September,Friday,Stormy,Intersection
Jharkhand,Some City,June,Saturday,Hazy,Curve
Puducherry,Some City,September,Friday,Foggy,Intersection
Puducherry,Some City,September,Wednesday,Foggy,Curve
Puducherry,Some City,January,Monday,Foggy,Intersection
Haryana,Some City,November,Saturday,Clear,Intersection
Uttarakhand,Some City,June,Monday,Rainy,Curve
Tripura,Some City,September,Sunday,Stormy,Curve
Nagaland,Some City,July,Saturday,Rainy,Intersection
Madhya Pradesh,Some City,April,Monday,Hazy,Intersection
Mizoram,Some City,April,Wednesday,Clear,Curve
Nagaland,Some City,September,Tuesday,Clear,Curve
Chandigarh,Some City,June,Tuesday,Rainy,Curve
Chhattisgarh,Some City,May,Friday,Rainy,Intersection
Punjab,Some City,November,Wednesday,Foggy,Intersection
Madhya Pradesh,Some City,November,Thursday,Hazy,Curve
Puducherry,Some City,July,Tuesday,Stormy,Curve
Nagaland,Some City,May,Saturday,Clear,Curve
Haryana,Some City,July,Friday,Rainy,Intersection
Sikkim,Some City,October,Sunday,Stormy,Intersection
Nagaland,Some City,October,Saturday,Rainy,Intersection
Gujarat,Vadodara,October,Tuesday,Foggy,Curve
Maharashtra,Nagpur,March,Tuesday,Stormy,Curve
Madhya Pradesh,Some City,November,Tuesday,Clear,Intersection
West Bengal,Siliguri,April,Friday,Clear,Curve
Mizoram,Some City,August,Sunday,Rainy,Curve
Rajasthan,Udaipur,June,Wednesday,Clear,Curve
Haryana,Some City,September,Friday,Clear,Intersection
Bihar,Some City,April,Thursday,Clear,Intersection
Mizoram,Some City,October,Saturday,Foggy,Intersection
Tamil Nadu,Madurai,May,Wednesday,Clear,Intersection
Goa,Some City,October,Tuesday,Rainy,Intersection
Goa,Some City,November,Wednesday,Stormy,Intersection
Puducherry,Some City,September,Thursday,Rainy,Intersection
Tamil Nadu,Madurai,December,Monday,Rainy,Intersection
Tamil Nadu,Madurai,September,Thursday,Stormy,Intersection
Nagaland,Some City,June,Wednesday,Stormy,Intersection
Uttarakhand,Some City,September,Saturday,Foggy,Curve
Tamil Nadu,Coimbatore,September,Wednesday,Stormy,Intersection
Punjab,Some City,April,Friday,Rainy,Curve
Punjab,Some City,May,Friday,Stormy,Intersection
Himachal Pradesh,Some City,May,Friday,Hazy,Intersection
Jammu and Kashmir,Some City,May,Saturday,Foggy,Intersection
Arunachal Pradesh,Some City,December,Wednesday,Foggy,Intersection
Chhattisgarh,Some City,October,Friday,Foggy,Curve
Haryana,Some City,December,Sunday,Rainy,Curve
Assam,Some City,February,Saturday,Rainy,Intersection
Punjab,Some City,February,Wednesday,Rainy,Curve
Uttarakhand,Some City,November,Wednesday,Clear,Curve
Delhi,New Delhi,November,Wednesday,Stormy,Curve
Maharashtra,Pune,November,Tuesday,Hazy,Intersection
Himachal Pradesh,Some City,October,Sunday,Clear,Intersection
Odisha,Some City,September,Sunday,Stormy,Intersection
Tamil Nadu,Coimbatore,September,Tuesday,Hazy,Intersection
Odisha,Some City,June,Tuesday,Rainy,Intersection
Arunachal Pradesh,Some City,January,Thursday,Rainy,Curve
Himachal Pradesh,Some City,August,Monday,Stormy,Curve
Tripura,Some City,February,Friday,Stormy,Curve
Chandigarh,Some City,June,Wednesday,Rainy,Curve
Meghalaya,Some City,April,Thursday,Foggy,Curve
Puducherry,Some City,August,Friday,Rainy,Curve
Jharkhand,Some City,November,Monday,Foggy,Intersection
Chandigarh,Some City,February,Wednesday,Rainy,Curve
Jharkhand,Some City,April,Wednesday,Clear,Curve
Nagaland,Some City,September,Tuesday,Hazy,Curve
Maharashtra,Mumbai,April,Sunday,Stormy,Curve
Uttarakhand,Some City,June,Sunday,Stormy,Curve
Sikkim,Some City,May,Sunday,Hazy,Curve
Goa,Some City,February,Monday,Foggy,Curve
Nagaland,Some City,January,Monday,Clear,Intersection
Kerala,Some City,March,Wednesday,Rainy,Intersection
Haryana,Some City,October,Wednesday,Clear,Intersection
Delhi,Rohini,November,Monday,Foggy,Intersection
Gujarat,Vadodara,March,Friday,Stormy,Curve
Goa,Some City,May,Wednesday,Rainy,Intersection
Maharashtra,Pune,October,Thursday,Rainy,Intersection
Mizoram,Some City,September,Saturday,Foggy,Curve
Odisha,Some City,October,Monday,Rainy,Intersection
Uttarakhand,Some City,March,Tuesday,Rainy,Intersection
Chhattisgarh,Some City,October,Sunday,Foggy,Curve
Puducherry,Some City,April,Sunday,Rainy,Intersection
Uttarakhand,Some City,January,Friday,Hazy,Intersection
Uttarakhand,Some City,August,Monday,Hazy,Intersection
Odisha,Some City,February,Sunday,Foggy,Intersection
Rajasthan,Jodhpur,January,Tuesday,Hazy,Curve
Goa,Some City,November,Tuesday,Hazy,Intersection
West Bengal,Durgapur,February,Wednesday,Rainy,Curve
Tamil Nadu,Madurai,November,Friday,Foggy,Curve
Punjab,Some City,November,Monday,Hazy,Curve
Delhi,Rohini,February,Friday,Rainy,Intersection
Jammu and Kashmir,Some City,December,Tuesday,Foggy,Curve
Rajasthan,Jodhpur,December,Sunday,Hazy,Curve
West Bengal,Siliguri,April,Monday,Hazy,Curve
Odisha,Some City,November,Sunday,Clear,Intersection
Uttar Pradesh,Kanpur,June,Monday,Foggy,Intersection
Puducherry,Some City,August,Wednesday,Stormy,Intersection
Himachal Pradesh,Some City,August,Thursday,Rainy,Curve
Uttar Pradesh,Varanasi,November,Thursday,Rainy,Curve
Telangana,Some City,October,Sunday,Foggy,Intersection
Tripura,Some City,October,Saturday,Stormy,Intersection
Andhra Pradesh,Vijayawada,November,Friday,Hazy,Curve
Gujarat,Vadodara,October,Thursday,Foggy,Curve
Maharashtra,Mumbai,January,Friday,Rainy,Intersection
Delhi,Rohini,March,Saturday,Clear,Intersection
Telangana,Some City,February,Saturday,Rainy,Curve
Gujarat,Ahmedabad,April,Thursday,Hazy,Curve
Rajasthan,Udaipur,March,Thursday,Clear,Intersection
Tamil Nadu,Coimbatore,December,Friday,Hazy,Intersection
Mizoram,Some City,January,Monday,Clear,Curve
Meghalaya,Some City,February,Wednesday,Clear,Curve
Puducherry,Some City,March,Thursday,Clear,Intersection
Delhi,New Delhi,August,Tuesday,Hazy,Curve
Odisha,Some City,December,Thursday,Stormy,Curve
West Bengal,Siliguri,April,Wednesday,Foggy,Curve
Madhya Pradesh,Some City,January,Thursday,Foggy,Intersection
Uttar Pradesh,Lucknow,April,Wednesday,Stormy,Intersection
Rajasthan,Jaipur,February,Monday,Hazy,Curve
Karnataka,Mysore,March,Sunday,Foggy,Intersection
Haryana,Some City,November,Friday,Stormy,Curve
Haryana,Some City,October,Monday,Rainy,Intersection
Bihar,Some City,October,Saturday,Clear,Curve
Assam,Some City,March,Friday,Clear,Intersection
Assam,Some City,May,Tuesday,Stormy,Intersection
Chandigarh,Some City,January,Monday,Stormy,Intersection
Maharashtra,Mumbai,September,Tuesday,Clear,Intersection
Karnataka,Bangalore,December,Tuesday,Clear,Curve
Haryana,Some City,October,Monday,Stormy,Curve
Nagaland,Some City,October,Thursday,Foggy,Intersection
Goa,Some City,January,Saturday,Foggy,Intersection
Mizoram,Some City,April,Sunday,Clear,Curve
Andhra Pradesh,Vijayawada,December,Friday,Rainy,Curve
Andhra Pradesh,Visakhapatnam,October,Monday,Stormy,Curve
Delhi,Rohini,July,Friday,Hazy,Curve
Bihar,Some City,January,Saturday,Foggy,Curve
Kerala,Some City,December,Sunday,Hazy,Curve
Delhi,Rohini,January,Wednesday,Hazy,Curve
Rajasthan,Udaipur,June,Sunday,Clear,Intersection
Karnataka,Bangalore,March,Tuesday,Hazy,Curve
Meghalaya,Some City,April,Wednesday,Stormy,Intersection
Madhya Pradesh,Some City,August,Tuesday,Foggy,Intersection
Nagaland,Some City,April,Tuesday,Clear,Intersection
Andhra Pradesh,Visakhapatnam,February,Saturday,Stormy,Intersection
Manipur,Some City,April,Sunday,Hazy,Curve
Odisha,Some City,January,Thursday,Hazy,Intersection
Puducherry,Some City,December,Sunday,Stormy,Intersection
Mizoram,Some City,March,Monday,Rainy,Intersection
Chhattisgarh,Some City,May,Saturday,Foggy,Intersection
Delhi,New Delhi,February,Thursday,Clear,Intersection
Kerala,Some City,April,Thursday,Rainy,Curve
Uttarakhand,Some City,December,Friday,Foggy,Intersection
Punjab,Some City,August,Tuesday,Foggy,Intersection
Telangana,Some City,November,Tuesday,Foggy,Intersection
Tamil Nadu,Coimbatore,March,Thursday,Hazy,Curve
Manipur,Some City,December,Sunday,Hazy,Intersection
Puducherry,Some City,May,Monday,Foggy,Curve
Jharkhand,Some City,March,Saturday,Foggy,Curve
Chandigarh,Some City,February,Wednesday,Clear,Intersection
Chhattisgarh,Some City,December,Friday,Clear,Curve
Meghalaya,Some City,June,Wednesday,Rainy,Curve
Haryana,Some City,August,Sunday,Clear,Intersection
Punjab,Some City,December,Saturday,Stormy,Curve
Meghalaya,Some City,December,Thursday,Stormy,Curve
Goa,Some City,June,Monday,Hazy,Curve
Goa,Some City,March,Wednesday,Rainy,Intersection
Puducherry,Some City,October,Wednesday,Clear,Curve
Telangana,Some City,January,Monday,Foggy,Curve
Meghalaya,Some City,June,Monday,Hazy,Intersection
Uttarakhand,Some City,June,Wednesday,Stormy,Curve
Jammu and Kashmir,Some City,January,Tuesday,Rainy,Curve
Goa,Some City,February,Tuesday,Clear,Curve
Puducherry,Some City,April,Thursday,Rainy,Intersection
Sikkim,Some City,May,Monday,Hazy,Curve
Uttar Pradesh,Lucknow,July,Monday,Clear,Curve
Uttarakhand,Some City,June,Sunday,Rainy,Intersection
Sikkim,Some City,February,Thursday,Rainy,Intersection
Uttar Pradesh,Kanpur,November,Friday,Clear,Curve
Telangana,Some City,January,Monday,Hazy,Intersection
Puducherry,Some City,July,Monday,Hazy,Curve
Maharashtra,Pune,January,Friday,Hazy,Curve
Tamil Nadu,Coimbatore,January,Monday,Clear,Intersection
Chandigarh,Some City,March,Friday,Foggy,Intersection
Andhra Pradesh,Tirupati,June,Monday,Foggy,Curve
Chhattisgarh,Some City,August,Sunday,Foggy,Intersection
Himachal Pradesh,Some City,February,Friday,Hazy,Intersection
Arunachal Pradesh,Some City,July,Wednesday,Hazy,Curve
Tamil Nadu,Coimbatore,November,Monday,Foggy,Curve
Nagaland,Some City,December,Saturday,Foggy,Intersection
Bihar,Some City,July,Friday,Hazy,Intersection
Jharkhand,Some City,July,Wednesday,Rainy,Curve
Mizoram,Some City,December,Saturday,Rainy,Intersection
Jammu and Kashmir,Some City,March,Monday,Foggy,Intersection
Jammu and Kashmir,Some City,July,Wednesday,Hazy,Curve
Uttarakhand,Some City,December,Monday,Rainy,Curve
Chhattisgarh,Some City,July,Thursday,Clear,Curve
Bihar,Some City,October,Thursday,Hazy,Curve
Chandigarh,Some City,January,Thursday,Rainy,Curve
Andhra Pradesh,Tirupati,October,Thursday,Hazy,Curve
Haryana,Some City,March,Tuesday,Stormy,Curve
Manipur,Some City,January,Tuesday,Hazy,Intersection
Manipur,Some City,August,Sunday,Foggy,Curve
Odisha,Some City,January,Tuesday,Hazy,Curve
Chhattisgarh,Some City,December,Tuesday,Rainy,Curve
Chhattisgarh,Some City,January,Sunday,Stormy,Intersection
Chhattisgarh,Some City,July,Thursday,Clear,Curve
Tripura,Some City,September,Thursday,Stormy,Curve
Delhi,New Delhi,June,Sunday,Clear,Intersection
Himachal Pradesh,Some City,October,Sunday,Clear,Intersection
Uttarakhand,Some City,October,Sunday,Clear,Curve
Delhi,New Delhi,February,Friday,Stormy,Curve
Punjab,Some City,June,Monday,Rainy,Curve
Andhra Pradesh,Vijayawada,December,Thursday,Stormy,Curve
Chhattisgarh,Some City,January,Wednesday,Clear,Intersection
Nagaland,Some City,July,Thursday,Foggy,Intersection
Sikkim,Some City,March,Wednesday,Clear,Intersection
Uttarakhand,Some City,April,Thursday,Rainy,Curve
